epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7752,1.47219,3.14015,1.66414,0.4396,0.23586,0.20068,0.07478,1.84643,2.84244,2.15522,0.000367273,0.000367273,0.000367273
2,80.0223,1.512,2.55649,1.74048,0.25875,0.34318,0.23063,0.08863,1.79563,2.78308,2.22638,0.000723001,0.000723001,0.000723001
3,98.4096,1.56195,2.47649,1.77375,0.2078,0.38818,0.21665,0.08013,1.91516,2.85029,2.22717,0.00106406,0.00106406,0.00106406
4,116.593,1.516,2.41107,1.77793,0.23668,0.41905,0.22696,0.08544,1.94328,2.60628,2.26069,0.00104501,0.00104501,0.00104501
5,135.737,1.54254,2.35403,1.77129,0.27504,0.37987,0.24385,0.11042,1.81773,2.44405,2.20216,0.00102301,0.00102301,0.00102301
6,153.862,1.48773,2.3001,1.72507,0.23183,0.39908,0.26012,0.11205,1.69744,2.3915,2.08947,0.00100101,0.00100101,0.00100101
7,172.02,1.49023,2.21427,1.71869,0.28236,0.44488,0.27678,0.12584,1.72916,2.3111,2.05081,0.000979013,0.000979013,0.000979013
8,190.177,1.47714,2.22581,1.71663,0.2902,0.3883,0.29717,0.12762,1.749,2.52056,2.0175,0.000957015,0.000957015,0.000957015
9,208.178,1.45046,2.17031,1.7144,0.36821,0.41888,0.30568,0.13356,1.6829,2.34537,2.02495,0.000935018,0.000935018,0.000935018
10,226.808,1.46353,2.16101,1.70832,0.37881,0.41445,0.32291,0.15164,1.77722,2.22988,2.0745,0.00091302,0.00091302,0.00091302
11,251.31,1.43088,2.07199,1.68692,0.36193,0.43987,0.33739,0.15733,1.68817,2.17616,2.00301,0.000891022,0.000891022,0.000891022
12,273.296,1.41463,2.07702,1.69433,0.29852,0.50517,0.32636,0.14583,1.67667,2.21825,2.0338,0.000869024,0.000869024,0.000869024
13,296.372,1.40136,2.11171,1.68824,0.38414,0.44189,0.35385,0.16057,1.64321,2.12003,1.96451,0.000847026,0.000847026,0.000847026
14,320.229,1.39043,2.06254,1.67403,0.33376,0.46892,0.32932,0.15476,1.70641,2.18879,2.01417,0.000825029,0.000825029,0.000825029
15,341.68,1.35528,2.02301,1.65114,0.38047,0.49182,0.3579,0.16162,1.6356,2.13268,1.96528,0.000803031,0.000803031,0.000803031
16,363.821,1.37027,2.00177,1.65922,0.38819,0.44647,0.37429,0.18348,1.697,2.10746,1.9732,0.000781033,0.000781033,0.000781033
17,384.918,1.37438,2.00769,1.64557,0.3631,0.4811,0.35855,0.17308,1.65477,2.11379,1.94837,0.000759035,0.000759035,0.000759035
18,405.097,1.31903,1.97415,1.62658,0.33581,0.46605,0.32941,0.15763,1.65587,2.15208,1.92103,0.000737037,0.000737037,0.000737037
19,427.593,1.33894,1.91479,1.61922,0.35522,0.4812,0.37108,0.18097,1.64309,2.0768,1.94618,0.00071504,0.00071504,0.00071504
20,449.373,1.36291,1.97464,1.64456,0.43817,0.40331,0.39054,0.1913,1.67861,2.05633,1.96008,0.000693042,0.000693042,0.000693042
21,472.067,1.33307,1.94085,1.61646,0.33908,0.52525,0.36239,0.1759,1.64739,2.05091,1.92723,0.000671044,0.000671044,0.000671044
22,493.603,1.31999,1.94001,1.62295,0.40228,0.46611,0.40262,0.19401,1.63262,2.02975,1.92468,0.000649046,0.000649046,0.000649046
23,518.028,1.33399,1.90689,1.60548,0.45534,0.41687,0.39612,0.19326,1.60319,2.055,1.90372,0.000627048,0.000627048,0.000627048
24,542.094,1.31865,1.91296,1.60889,0.41444,0.47736,0.3913,0.19097,1.67598,1.98364,1.96403,0.000605051,0.000605051,0.000605051
25,565.486,1.33088,1.90449,1.61342,0.38963,0.45394,0.37717,0.19759,1.60445,2.00112,1.87759,0.000583053,0.000583053,0.000583053
26,588.642,1.31226,1.87636,1.58869,0.42029,0.46354,0.38993,0.19582,1.63675,1.99495,1.9215,0.000561055,0.000561055,0.000561055
27,610.869,1.29814,1.889,1.59606,0.42134,0.50124,0.41827,0.20751,1.67134,1.99231,1.92183,0.000539057,0.000539057,0.000539057
28,636.362,1.30621,1.86013,1.60488,0.4128,0.48318,0.3987,0.19612,1.6582,2.0545,1.95013,0.000517059,0.000517059,0.000517059
29,660.447,1.29778,1.82127,1.58913,0.47292,0.43843,0.41108,0.21462,1.61879,1.92337,1.90347,0.000495062,0.000495062,0.000495062
30,684.059,1.26627,1.82922,1.58222,0.39177,0.46889,0.40107,0.20288,1.60684,2.00521,1.9006,0.000473064,0.000473064,0.000473064
