epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,707.878,1.29067,1.81631,1.60145,0.42942,0.42407,0.39129,0.2013,1.62069,1.99788,1.90615,0.000451066,0.000451066,0.000451066
32,729.555,1.26038,1.79617,1.56673,0.41734,0.43259,0.39563,0.19936,1.60158,1.97927,1.86076,0.000429068,0.000429068,0.000429068
33,750.402,1.26626,1.79676,1.56957,0.46817,0.41794,0.41701,0.21222,1.60986,1.92169,1.8447,0.00040707,0.00040707,0.00040707
34,770.693,1.23862,1.79594,1.56186,0.446,0.46952,0.4256,0.2161,1.61854,1.91059,1.86791,0.000385073,0.000385073,0.000385073
35,790.927,1.291,1.81427,1.58695,0.39023,0.47568,0.4087,0.20643,1.63031,1.92192,1.89201,0.000363075,0.000363075,0.000363075
36,808.317,1.2526,1.7841,1.5604,0.3905,0.47252,0.40445,0.2053,1.62541,1.96242,1.88105,0.000341077,0.000341077,0.000341077
37,826.051,1.2729,1.76551,1.57354,0.42914,0.47192,0.41962,0.20992,1.61483,1.94123,1.88764,0.000319079,0.000319079,0.000319079
38,844.356,1.23887,1.76545,1.56489,0.45884,0.51758,0.43782,0.22575,1.62197,1.85645,1.88374,0.000297081,0.000297081,0.000297081
39,863.451,1.23738,1.74102,1.55014,0.42524,0.48823,0.4274,0.22372,1.57952,1.90199,1.85101,0.000275084,0.000275084,0.000275084
40,882.521,1.23781,1.74969,1.54051,0.44235,0.44112,0.42239,0.21534,1.58859,1.87918,1.84831,0.000253086,0.000253086,0.000253086
41,923.68,1.37793,1.85843,1.73999,0.48637,0.451,0.4474,0.21512,1.60099,1.9266,1.85747,0.000231088,0.000231088,0.000231088
42,941.616,1.3599,1.79863,1.71426,0.45756,0.47613,0.42007,0.20689,1.55708,1.94742,1.82696,0.00020909,0.00020909,0.00020909
43,960.175,1.31892,1.75185,1.6896,0.4518,0.43374,0.41931,0.21644,1.56881,1.91108,1.84015,0.000187092,0.000187092,0.000187092
44,978.031,1.32771,1.72818,1.71461,0.5168,0.48393,0.45332,0.22192,1.5619,1.89312,1.83831,0.000165095,0.000165095,0.000165095
45,997.371,1.31063,1.67141,1.67985,0.4864,0.41974,0.42475,0.21839,1.55563,1.88257,1.84081,0.000143097,0.000143097,0.000143097
46,1016.85,1.29038,1.66493,1.65017,0.46112,0.46042,0.43504,0.22595,1.56233,1.89879,1.82196,0.000121099,0.000121099,0.000121099
47,1035.12,1.30844,1.67913,1.6745,0.50736,0.46367,0.4375,0.22592,1.55868,1.88373,1.81968,9.91012e-05,9.91012e-05,9.91012e-05
48,1052.92,1.2632,1.64539,1.64322,0.46967,0.50704,0.44225,0.23044,1.56293,1.86335,1.82975,7.71034e-05,7.71034e-05,7.71034e-05
49,1072.13,1.26735,1.63933,1.64949,0.48127,0.489,0.44779,0.2272,1.57065,1.8556,1.83072,5.51056e-05,5.51056e-05,5.51056e-05
50,1090.06,1.2632,1.63332,1.64783,0.50491,0.47227,0.44648,0.23034,1.55916,1.8665,1.83087,3.31078e-05,3.31078e-05,3.31078e-05
