epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,784.592,1.28508,1.80394,1.58225,0.42465,0.48326,0.41331,0.2069,1.61027,1.92847,1.87105,0.000660045,0.000660045,0.000660045
43,801.686,1.29638,1.8104,1.59638,0.40369,0.46474,0.37628,0.18438,1.66323,1.96816,1.93922,0.000649046,0.000649046,0.000649046
44,818.839,1.28362,1.83163,1.60115,0.45157,0.47704,0.43837,0.21647,1.593,1.92686,1.89117,0.000638047,0.000638047,0.000638047
45,836.513,1.28276,1.79684,1.58169,0.4292,0.52484,0.40863,0.20242,1.6134,1.93432,1.89918,0.000627048,0.000627048,0.000627048
46,853.515,1.25584,1.78117,1.57671,0.4275,0.46167,0.41482,0.20992,1.64573,1.94577,1.93015,0.000616049,0.000616049,0.000616049
47,870.41,1.27694,1.77019,1.58629,0.46905,0.4893,0.4439,0.21149,1.63334,1.93085,1.91788,0.000605051,0.000605051,0.000605051
48,887.567,1.27727,1.75784,1.55967,0.41565,0.52169,0.41091,0.21125,1.62423,1.94453,1.90642,0.000594052,0.000594052,0.000594052
49,904.744,1.25944,1.74352,1.54918,0.538,0.41439,0.42743,0.2188,1.59808,1.9346,1.8699,0.000583053,0.000583053,0.000583053
50,922.397,1.24633,1.76346,1.56707,0.50228,0.45458,0.42231,0.21802,1.59369,1.88779,1.87127,0.000572054,0.000572054,0.000572054
51,939.699,1.24694,1.74309,1.57186,0.47227,0.42156,0.41924,0.2147,1.60915,1.91695,1.88856,0.000561055,0.000561055,0.000561055
52,956.906,1.24432,1.75101,1.56755,0.4187,0.47075,0.39157,0.20032,1.59026,1.94993,1.86346,0.000550056,0.000550056,0.000550056
53,973.867,1.27279,1.756,1.57837,0.45416,0.4818,0.42758,0.21127,1.62064,1.91998,1.87945,0.000539057,0.000539057,0.000539057
54,990.886,1.27272,1.74003,1.56495,0.49904,0.44281,0.42892,0.21499,1.59261,1.88296,1.8759,0.000528058,0.000528058,0.000528058
55,1008.1,1.23049,1.73718,1.54293,0.52713,0.42158,0.43996,0.21049,1.63146,1.93857,1.92752,0.000517059,0.000517059,0.000517059
56,1025.51,1.2561,1.72651,1.56016,0.46211,0.43813,0.4312,0.21352,1.63855,1.8991,1.908,0.00050606,0.00050606,0.00050606
57,1043.13,1.23674,1.70276,1.54718,0.44164,0.48278,0.43867,0.2099,1.62184,1.90221,1.90106,0.000495062,0.000495062,0.000495062
58,1060.53,1.23711,1.68731,1.55887,0.47898,0.47748,0.45771,0.2255,1.62241,1.86812,1.90817,0.000484063,0.000484063,0.000484063
59,1077.61,1.2416,1.6859,1.53934,0.4683,0.47218,0.4287,0.21163,1.5742,1.93898,1.88937,0.000473064,0.000473064,0.000473064
60,1094.72,1.24271,1.69534,1.54325,0.46789,0.46815,0.43515,0.21449,1.61812,1.89819,1.87567,0.000462065,0.000462065,0.000462065
61,1112.08,1.22515,1.6887,1.54177,0.46223,0.4686,0.43859,0.21917,1.6231,1.86245,1.88486,0.000451066,0.000451066,0.000451066
62,1129.78,1.20949,1.71492,1.53991,0.43193,0.48135,0.43307,0.21905,1.57578,1.88117,1.86902,0.000440067,0.000440067,0.000440067
63,1147.21,1.26219,1.69605,1.55422,0.45683,0.48325,0.45833,0.23214,1.57664,1.89289,1.85422,0.000429068,0.000429068,0.000429068
64,1164.46,1.24595,1.69408,1.5395,0.42388,0.49738,0.43145,0.21817,1.58745,1.89711,1.87952,0.000418069,0.000418069,0.000418069
65,1182.03,1.21771,1.6963,1.54013,0.41979,0.50143,0.44004,0.21804,1.5988,1.88526,1.89305,0.00040707,0.00040707,0.00040707
66,1199.45,1.22514,1.6588,1.53502,0.4788,0.48138,0.44244,0.22208,1.62028,1.86984,1.89863,0.000396071,0.000396071,0.000396071
67,1216.81,1.21056,1.66009,1.52344,0.44396,0.49827,0.43979,0.21894,1.62236,1.89365,1.90132,0.000385073,0.000385073,0.000385073
68,1234.01,1.1989,1.62955,1.53,0.49075,0.44411,0.43575,0.21327,1.63472,1.90389,1.90131,0.000374074,0.000374074,0.000374074
69,1251.37,1.18929,1.65106,1.5087,0.49207,0.4525,0.43276,0.22216,1.62064,1.87749,1.90773,0.000363075,0.000363075,0.000363075
70,1268.89,1.20809,1.61704,1.52647,0.48212,0.44207,0.43769,0.22046,1.60665,1.86472,1.89794,0.000352076,0.000352076,0.000352076
71,1286.16,1.19062,1.64868,1.52147,0.49006,0.45565,0.44518,0.21532,1.59554,1.91486,1.8674,0.000341077,0.000341077,0.000341077
72,1303.5,1.21267,1.62442,1.52261,0.47377,0.46061,0.44885,0.21467,1.62776,1.8573,1.90181,0.000330078,0.000330078,0.000330078
73,1320.63,1.19636,1.60328,1.49837,0.42762,0.51053,0.44445,0.22302,1.60758,1.88373,1.89156,0.000319079,0.000319079,0.000319079
74,1337.93,1.17658,1.59978,1.50587,0.45251,0.5321,0.45478,0.24126,1.60146,1.83388,1.87507,0.00030808,0.00030808,0.00030808
75,1355.47,1.17973,1.57811,1.5052,0.42085,0.50088,0.44695,0.22776,1.58578,1.89215,1.84902,0.000297081,0.000297081,0.000297081
76,1372.68,1.18142,1.61355,1.5017,0.46046,0.47204,0.42549,0.2179,1.59809,1.85222,1.87238,0.000286083,0.000286083,0.000286083
77,1390.04,1.20179,1.60184,1.51086,0.48278,0.46223,0.45673,0.23083,1.59243,1.84978,1.85964,0.000275084,0.000275084,0.000275084
78,1407.39,1.17407,1.58276,1.50855,0.47143,0.46943,0.44796,0.23209,1.56366,1.83314,1.87189,0.000264085,0.000264085,0.000264085
79,1425.02,1.14615,1.56014,1.50442,0.49091,0.44719,0.43779,0.23501,1.57506,1.84957,1.85903,0.000253086,0.000253086,0.000253086
80,1442.72,1.19751,1.58126,1.50796,0.46184,0.46156,0.44643,0.23101,1.61945,1.84414,1.89027,0.000242087,0.000242087,0.000242087
81,1459.95,1.19902,1.58944,1.50678,0.45462,0.46133,0.44711,0.23085,1.58295,1.82236,1.86202,0.000231088,0.000231088,0.000231088
82,1477.29,1.19407,1.5565,1.51277,0.45087,0.4813,0.43843,0.22317,1.59494,1.86202,1.87699,0.000220089,0.000220089,0.000220089
83,1494.97,1.15972,1.54103,1.48377,0.44317,0.49908,0.4465,0.23069,1.54905,1.83678,1.84273,0.00020909,0.00020909,0.00020909
84,1512.42,1.14542,1.51826,1.4792,0.46493,0.50495,0.45013,0.22813,1.58361,1.83511,1.86179,0.000198091,0.000198091,0.000198091
85,1530.07,1.15262,1.56974,1.4909,0.46052,0.50093,0.46267,0.23242,1.59686,1.83471,1.88465,0.000187092,0.000187092,0.000187092
86,1547.61,1.14385,1.53644,1.47728,0.49484,0.46519,0.44526,0.22957,1.6121,1.81978,1.8997,0.000176094,0.000176094,0.000176094
87,1565.17,1.14446,1.49471,1.47357,0.47816,0.50432,0.46619,0.23797,1.59178,1.81163,1.87766,0.000165095,0.000165095,0.000165095
88,1582.25,1.13759,1.54741,1.48407,0.4583,0.48958,0.44525,0.22422,1.61096,1.82728,1.88789,0.000154096,0.000154096,0.000154096
89,1599.35,1.12204,1.50035,1.46351,0.45549,0.50004,0.45046,0.22783,1.61307,1.85493,1.89349,0.000143097,0.000143097,0.000143097
